title;location;us_airdate;television;film;rating;monster;species;strength;villain;appearance
There's No Creature Like Snow Creature;Wilkinson Snowboarding Open;2002-09-14;What's New, Scooby-Doo;;3;Snow Creature;Snow Creature;Lifts;Avalanche Anderson;https://static.wikia.nocookie.net/scoobydoo/images/f/fa/Snow_Creature.png/revision/latest/scale-to-width-down/700?cb=20140823133706
3-D Struction;Costa Rica;2002-09-21;What's New, Scooby-Doo?;;3;Dinosaur Spirit;Dinosaur;Razor sharp teeth;Luis Cepeda, Heather Lane;https://static.wikia.nocookie.net/scoobydoo/images/d/d8/Dinosaur_Spirit.png/revision/latest/scale-to-width-down/699?cb=20180730203035
Space Ape at the Cape;Space;2002-09-28;What's New, Scooby-Doo?;;3;Space Ape;Alien;Rapid growth, poison touch;Janet Lawrence;https://static.wikia.nocookie.net/scoobydoo/images/0/0d/Space_Ape_chase_sequence_begins.png/revision/latest/scale-to-width-down/700?cb=20151002103030
Big Scare in the Big Easy;New Orleans, Louisiana, USA;2002-10-05;What's New, Scooby-Doo?;;4;Leland Brothers;Ghost;Flight, wind manipulation;Crawdad Mike, bus driver;https://static.wikia.nocookie.net/scoobydoo/images/c/c4/Ghosts_of_the_Leland_Brothers.png/revision/latest/scale-to-width-down/700?cb=20151129101712
It's Mean, It's Green, It's the Mystery Machine;;2002-10-26;What's New, Scooby-Doo?;;1;Mystery Machine;Robot;Self-drive;Susan Dinwiddie;https://static.wikia.nocookie.net/scoobydoo/images/0/08/Mystery_Machine.png/revision/latest/scale-to-width-down/300?cb=20210703171922
Riva Ras Regas;Las Vegas, Nevada, USA;2002-11-02;What's New, Scooby-Doo?;;4;Ghost of Rufus Raucous;Ghost;Flight, pyrokinesis, brings things to life;Phylidia Flanders;https://static.wikia.nocookie.net/scoobydoo/images/c/c9/Ghost_of_Rufus_Raucous.png/revision/latest/scale-to-width-down/700?cb=20151114190507
Roller Ghoster Ride;Thrill Ride Park;2002-11-09;What's New, Scooby-Doo?;;4;Roller Ghoster;Ghost;Menacing look;Terry;https://static.wikia.nocookie.net/scoobydoo/images/0/0f/Roller_Ghoster.png/revision/latest/scale-to-width-down/700?cb=20180803104637
Safari, So Goodi!;;2002-11-23;What's New, Scooby-Doo?;;1;Jungle Demons;Demon;Glow;Henry Hunsecker, Honey Hunsecker;https://static.wikia.nocookie.net/scoobydoo/images/4/4d/Demons_%28Safari%2C_So_Goodi%21%29.jpg/revision/latest/scale-to-width-down/699?cb=20150109175317
She Sees a Sea Monster by the Seashore;Faja Manu Island;2002-11-30;What's New, Scooby-Doo?;;3;Motoshondu;Sea Serpent;Strong jaw;Crunchy Granville;https://static.wikia.nocookie.net/scoobydoo/images/e/ec/Motoshondu.png/revision/latest/scale-to-width-down/700?cb=20151120164153
A Scooby-Doo! Christmas;Winter Hollow, USA;2002-12-13;What's New, Scooby-Doo?;;3;Headless Snowman;Snow Creature;Detachable head, agility;Professor William Higginson;https://static.wikia.nocookie.net/scoobydoo/images/a/a5/Headless_Snowman.png/revision/latest/scale-to-width-down/700?cb=20180729133310
Toy Scary Boo;Happy Toy Land;2003-02-01;What's New, Scooby-Doo?;;3;Spaceman Swinton, Annabel Action Figure;Toy;Agility, micro-size;Walter Claphammer;https://static.wikia.nocookie.net/scoobydoo/images/f/fe/Annabel_Action_Figures.png/revision/latest/scale-to-width-down/700?cb=20180729132534
Lights! Camera! Mayhem!;Hollywood, California, USA;2003-02-15;What's New, Scooby-Doo?;;2;Faceless Phantom;Ghost;Flight;Vincent Wong;https://static.wikia.nocookie.net/scoobydoo/images/3/37/Faceless_Phantom.png/revision/latest/scale-to-width-down/700?cb=20151117134347
Pompeii and Circumstance;Pompeii, Italy;2003-02-22;What's New, Scooby-Doo?;;5;Zombie Gladiator;Zombie;Fight;Ugo DiRinaldi, Captain Guzman;https://static.wikia.nocookie.net/scoobydoo/images/f/f1/Zombie_Gladiator.png/revision/latest/scale-to-width-down/700?cb=20170616184413
The Unnatural;Cookie Co. International Park;2003-03-22;What's New, Scooby-Doo?;;4;Baseball Specter;Ghost;Flight, throws flaming baseballs;Bob Taylor;https://static.wikia.nocookie.net/scoobydoo/images/1/14/Baseball_Spectre.PNG/revision/latest/scale-to-width-down/699?cb=20210711015755
Big Appetite in Little Tokyo;Tokyo, Japan;2003-09-13;What's New, Scooby-Doo?;;5;30 Foot Shaggy;Shagzilla;Super strength;Professor Pomfrit;https://static.wikia.nocookie.net/scoobydoo/images/b/bf/30_Foot_Shaggy.png/revision/latest/scale-to-width-down/700?cb=20150113200537
Mummy Scares Best;Egypt;2003-09-20;What's New, Scooby-Doo?;;5;Mummy of Pharaoh Scamses;Mummy;Turns people into zombies, summons sandstorms;Qasl Al-Famir, Madamoiselle Chantal;https://static.wikia.nocookie.net/scoobydoo/images/3/3f/Pharaoh_Scamses.png/revision/latest/scale-to-width-down/700?cb=20150119160711
The Fast and the Wormious;Mexico;2003-09-27;What's New, Scooby-Doo?;;3;Gusano Grande;Worm;Black sharp teeth;Gibby Norton;https://static.wikia.nocookie.net/scoobydoo/images/a/ab/Gusano_Grande.png/revision/latest/scale-to-width-down/700?cb=20170508113910
High-Tech House of Horrors;Omaha World's Fair;2003-10-04;What's New, Scooby-Doo?;;4;House of the Future, Jeeves;Robot;Agility, intelligence;Shari;https://static.wikia.nocookie.net/scoobydoo/images/a/a3/Jeeves_Normal.png/revision/latest/scale-to-width-down/220?cb=20160602191231
The Vampire Strikes Back;Fortesu Castle;2003-10-18;What's New, Scooby-Doo?;;4;Vampire;Vampire;Flight, turns people into bats;Steve Fortescu, Stu Fortescu;https://static.wikia.nocookie.net/scoobydoo/images/0/03/Scarecrow_robot.png/revision/latest/scale-to-width-down/699?cb=20150122172748
A Scooby-Doo Halloween;Banning Junction;2003-10-25;What's New, Scooby-Doo?;;3;Scarecrow Robots;Robot;;Marcy;https://static.wikia.nocookie.net/scoobydoo/images/0/03/Scarecrow_robot.png/revision/latest/scale-to-width-down/699?cb=20150122172748
Homeward Hound;International Dog Show;2003-10-25;What's New, Scooby-Doo?;;1;Cat Creature;Big Cat;Agile, muscular, glowing yellow eyes;Meadow;https://static.wikia.nocookie.net/scoobydoo/images/d/df/Cat_Creature_%28Homeward_Hound%29.png/revision/latest/scale-to-width-down/700?cb=20160104114308
The San Franpsycho;San Francisco, California, USA;2004-03-20;What's New, Scooby-Doo?;;4;San Franpsycho;Ghost;Hook hand, seaweed manipulation;Rutie Banez;https://static.wikia.nocookie.net/scoobydoo/images/8/8b/San_Franpsycho.png/revision/latest/scale-to-width-down/700?cb=20170504172109
Simple Plan and the Invisible Madman;Huntersville;2004-03-22;What's New, Scooby-Doo?;;3;Invisible Madman;Ghost;Invisible;;https://static.wikia.nocookie.net/scoobydoo/images/6/69/InvisibleMadman.png/revision/latest/scale-to-width-down/699?cb=20120630032749
Recipe for Disaster;Munchville;2004-03-23;What's New, Scooby-Doo?;;1;Scooby Snack Monster;Ghost;Leaves batter trail;Penelope Bailey;https://static.wikia.nocookie.net/scoobydoo/images/6/64/Scooby_Snack_Monster.png/revision/latest/scale-to-width-down/700?cb=20170504202846
Large Dragon at Large;Scotland;2004-03-24;What's New, Scooby-Doo?;;2;Glasburgh Dragon;Dragon;Flight, fire breath;Jamison Steven Ripley;https://static.wikia.nocookie.net/scoobydoo/images/a/aa/Glasburgh_Dragon_w_pillory-trapped_Shag_and_Scoob.png/revision/latest/scale-to-width-down/700?cb=20160101172907
Uncle Scooby and Antarctica;Antarctica;2004-03-25;What's New, Scooby-Doo?;;2;Fish Creature;Fish Creature;Fast swimmer;Monroe Hopper;https://static.wikia.nocookie.net/scoobydoo/images/b/b0/Fish_creature_%28Uncle_Scooby_and_Antarctica%29.png/revision/latest/scale-to-width-down/700?cb=20160110192224
New Mexico, Old Monster;New Mexico, USA;2004-03-26;What's New, Scooby-Doo?;;3;Wakumi;Bird;Flight;Henry Thornwald;https://static.wikia.nocookie.net/scoobydoo/images/0/0b/Wakumi.png/revision/latest/scale-to-width-down/700?cb=20150221155142
It's All Greek to Scooby-Doo;Santorini, Greece;2004-03-27;What's New, Scooby-Doo?;;2;Centaur;Centaur;Speed;Susie Smythe;https://static.wikia.nocookie.net/scoobydoo/images/b/bc/Centaur.png/revision/latest/scale-to-width-down/700?cb=20170616140602
Fright House of a Lighthouse;Lake Michigan, Michigan, USA;2005-01-29;What's New, Scooby-Doo?;;5;Creepy Keeper;Ghost;Menacing look;Verona Dempsey;https://static.wikia.nocookie.net/scoobydoo/images/5/59/Creepy_Keeper.png/revision/latest/scale-to-width-down/700?cb=20160918125157
Go West, Young Scoob;Cyber Gulch;2005-02-05;What's New, Scooby-Doo?;;1;Cold Steel;Robot;Intelligence;Gibby Norton, John Lawman;https://static.wikia.nocookie.net/scoobydoo/images/1/1f/ColdSteel.png/revision/latest/scale-to-width-down/700?cb=20111014151854
A Scooby-Doo Valentine;;2005-02-11;What's New, Scooby-Doo?;;1;Mystery Inc. Evil Clones;Human;Preposterous strength;J.C. Chasez, 4 Hollywood extras;https://static.wikia.nocookie.net/scoobydoo/images/5/5f/Mystery_Inc._evil_clones_%28A_Scooby-Doo_Valentine%29.png/revision/latest/scale-to-width-down/699?cb=20160213174512
Wrestle Maniacs;Bosepheus Wrestling Bowl;2005-02-12;What's New, Scooby-Doo?;;5;Titanic Twist;Ghost;Super strength;Connie Crunch, Curt Crunch;https://static.wikia.nocookie.net/scoobydoo/images/8/8a/Titanictwist.png/revision/latest/scale-to-width-down/699?cb=20160406092823
Ready to Scare;Paris, France;2005-02-19;What's New, Scooby-Doo?;;5;Gargoyle;Gargoyle;Flight;Danica LeBlake;https://static.wikia.nocookie.net/scoobydoo/images/7/75/Gargoyle_%28Ready_to_Scare%29.png/revision/latest/scale-to-width-down/700?cb=20160226171914
Farmed & Dangerous;;2005-02-25;What's New, Scooby-Doo?;;1;Demon Farmer;Demon;Scythe hand;Neville Poppenbacher;https://static.wikia.nocookie.net/scoobydoo/images/4/45/Demon_Farmer.png/revision/latest/scale-to-width-down/700?cb=20180205200436
Diamonds Are a Ghoul's Best Friend;Moscow, Russia;2005-03-03;What's New, Scooby-Doo?;;1;Frozen Fiend;Ghost;Launching icicles, super strength;Galina Korzhakov;https://static.wikia.nocookie.net/scoobydoo/images/4/49/Frozen_Fiend.png/revision/latest/scale-to-width-down/700?cb=20170504135424
A Terrifying Round With A Menacing Metallic Clown;Nice Rapids;2005-03-12;What's New, Scooby-Doo?;;1;Menacing Metallic Clown;Clown;Transconfiguration, super strength;Smith Snipper;https://static.wikia.nocookie.net/scoobydoo/images/c/c9/Menacing_Metallic_Clown.png/revision/latest/scale-to-width-down/700?cb=20170505160324
Camp Comeoniwannascareya;Comeoniwannascareya;2005-03-19;What's New, Scooby-Doo?;;1;Toxic Terror;Mutant;Acid touch;Grey;https://static.wikia.nocookie.net/scoobydoo/images/f/f0/Toxic_Terror.png/revision/latest/scale-to-width-down/699?cb=20170618131749
Block-Long Hong Kong Terror;Hong Kong, China;2005-03-26;What's New, Scooby-Doo?;;5;Dragon;Dragon;Pryokinesis, fire manipulation;Wu, acrobaters;https://static.wikia.nocookie.net/scoobydoo/images/e/eb/Dragon_%28Block_Long_Hong_Kong_Terror%29.png/revision/latest/scale-to-width-down/700?cb=20170616120651
Gentlemen, Start Your Monsters!;Gainesville Raceway, Florida, USA;2005-04-02;What's New, Scooby-Doo?;;2;Skeleton Driver;Skeleton;Monster truck;Cindy, Jimmy;https://static.wikia.nocookie.net/scoobydoo/images/5/57/Skeleton_Driver.png/revision/latest/scale-to-width-down/700?cb=20160711201913
Gold Paw;Fort Knox, Kentucky, USA;2005-04-09;What's New, Scooby-Doo?;;1;Gold Monster;Anthropomorphic Gold;Petrification, camoflauge, super strength;Drill Sergeant Payne;https://static.wikia.nocookie.net/scoobydoo/images/8/8f/Gold_Monster.png/revision/latest/scale-to-width-down/700?cb=20170619111001
Reef Grief!;Sand Castle Beach, Australia;2005-04-16;What's New, Scooby-Doo?;;3;Coral Creature;Crab;Aquatic respiration;Spencer Johnson, coral creature;https://static.wikia.nocookie.net/scoobydoo/images/4/4d/Coral_Creature.png/revision/latest/scale-to-width-down/700?cb=20190103162120
E-Scream;Los Angeles, California, USA;2006-07-21;What's New, Scooby-Doo?;;1;Osomons;Virtual;Sharp teeth;Laslow Ostwald;https://static.wikia.nocookie.net/scoobydoo/images/a/a9/Osomons.png/revision/latest/scale-to-width-down/700?cb=20131013153925
Beware the Beast from Below;Crystal Cove, California, USA;2010-04-05;Scooby-Doo! Mystery Incorporated;;2;Slime Mutant;Mutant;Shoots slime which can cocoon people;Professor Emmanuel Raffalo;https://static.wikia.nocookie.net/scoobydoo/images/b/b0/Slime_Mutant.png/revision/latest/scale-to-width-down/700?cb=20140830163952
Thre Creeping Creatures;Gatorsburg, USA;2010-07-19;Scooby-Doo! Mystery Incorporated;;3;Gator People;Gator;Strength, sharp teeth, fast crawl;Grady Gator, Greta Gator, Gunther Gator;https://static.wikia.nocookie.net/scoobydoo/images/f/fb/Creeping_Creatures.png/revision/latest/scale-to-width-down/700?cb=20151128011954
The Secret of the Ghost Rig;Crystal Cove, California, USA;2010-07-26;Scooby-Doo! Mystery Incorporated;;1;Ghost Truck;Ghost;Pass through walls, generate fire from wheels;Rung Ladderton;https://static.wikia.nocookie.net/scoobydoo/images/7/76/Ghost_Truck.png/revision/latest/scale-to-width-down/700?cb=20160108010851
Revenge of the Man Crab;Crystal Cove, California, USA;2010-08-02;Scooby-Doo! Mystery Incorporated;;4;Man-Crab;Crab;Super strength;Bud Shelton;https://static.wikia.nocookie.net/scoobydoo/images/c/c3/Man-Crab.png/revision/latest/scale-to-width-down/700?cb=20160113225919
The Song of Mystery;Crystal Cove, California, USA;2010-08-10;Scooby-Doo! Mystery Incorporated;;2;Que Horrifico;Ghost;Spookify and control children;Mary Anne Gleardan;https://static.wikia.nocookie.net/scoobydoo/images/c/c4/Que_Horrifico.png/revision/latest/scale-to-width-down/700?cb=20170118025853
The Legend of Alice May;Crystal Cove, California, USA;2010-08-16;Scooby-Doo! Mystery Incorporated;;5;Ghost Girl;Ghost;Agile, sharp claws;Alice May;https://static.wikia.nocookie.net/scoobydoo/images/5/53/Ghost_Girl.png/revision/latest/scale-to-width-down/700?cb=20151227200245
