title;location;us_airdate;television;film;rating;monster;species;strength;villain;appearance
In Fear of the Phantom;Crystal Cove, California, USA;2010-08-23;Scooby-Doo! Mystery Incorporated;;5;Phantom;Ghost;Electrokinesis;Daniel Prezette;https://static.wikia.nocookie.net/scoobydoo/images/f/fa/Phantom_%28In_Fear_of_the_Phantom%29.png/revision/latest/scale-to-width-down/700?cb=20151216111728
The Grasp of the Gnome;Crystal Cove, California, USA;2010-08-30;Scooby-Doo! Mystery Incorporated;;1;Gnome;Gnome;Paralyzation;Gill Littlefoot;https://static.wikia.nocookie.net/scoobydoo/images/5/58/Gnome_%28The_Grasp_of_the_Gnome%29.png/revision/latest/scale-to-width-down/700?cb=20160204011443
Battle of the Humungonauts;Crystal Cove, California, USA;2010-09-06;Scooby-Doo! Mystery Incorporated;;1;Red and Green Humungonaut;Humungonaut;Super strength;Max Minner, Jax Minner;https://static.wikia.nocookie.net/scoobydoo/images/5/52/Green_Humungonaut.png/revision/latest/scale-to-width-down/700?cb=20170118113029
Howl of the Fright Hound;Crystal Cove, California, USA;2010-10-04;Scooby-Doo! Mystery Incorporated;;3;Fright Hound;Robot;Super strength, durability;Mrs. Wyatt;https://static.wikia.nocookie.net/scoobydoo/images/6/63/Fright_Hound.png/revision/latest/scale-to-width-down/700?cb=20151213115000
The Secret Serum;Crystal Cove, California, USA;2010-10-11;Scooby-Doo! Mystery Incorporated;;5;Vampire;Vampire;Flight;Sheila Altoonian;https://static.wikia.nocookie.net/scoobydoo/images/a/a7/Vampire_%28The_Secret_Serum%29.png/revision/latest/scale-to-width-down/700?cb=20170118040858
The Shrieking Madness;Crystal Cove, California, USA;2010-10-18;Scooby-Doo! Mystery Incorporated;;3;Char Gar Gothakon;Demon;Sonic screeching;Howard E. Roberts;https://static.wikia.nocookie.net/scoobydoo/images/d/d9/Char_Gar_Gothakon.png/revision/latest/scale-to-width-down/700?cb=20151213144944
When the Cicada Calls;Crystal Cove, California, USA;2010-10-25;Scooby-Doo! Mystery Incorporated;;4;Cicada Creature;Insect;Control swarms of cicadas;Grandma Moonbeam;https://static.wikia.nocookie.net/scoobydoo/images/b/bf/Cicada_monster.png/revision/latest/scale-to-width-down/700?cb=20110512080425
Mystery Solvers Club State Finals;Crystal Cove, California, USA;2011-05-03;Scooby-Doo! Mystery Incorporated;;1;Lord Infernicus;Skeleton;Flight, pyrokinesis;Jonathan Wellington Muddlemore;https://static.wikia.nocookie.net/scoobydoo/images/3/35/Lord_Infernicus.jpg/revision/latest/scale-to-width-down/700?cb=20120225160730
The Wild Brood;Crystal Cove, California, USA;2011-05-10;Scooby-Doo! Mystery Incorporated;;1;Shadowy Orc;Orc;Super strength;Maxwell;https://static.wikia.nocookie.net/scoobydoo/images/8/87/Shadowy_orc.png/revision/latest/scale-to-width-down/700?cb=20141124163644
Where Walks Aphrodite;Crystal Cove, California, USA;2011-05-17;Scooby-Doo! Mystery Incorporated;;3;Aphrodite;Zombie;Love pheromone;Amanda Smythe;https://static.wikia.nocookie.net/scoobydoo/images/c/c6/Aphrodite.png/revision/latest/scale-to-width-down/700?cb=20170121140005
Escape from Mystery Manor;Crystal Cove, California, USA;2011-05-24;Scooby-Doo! Mystery Incorporated;;4;Demented speaker;Robot;Pre-set traps;Danny Darrow;https://static.wikia.nocookie.net/scoobydoo/images/c/c0/Radio_voice.png/revision/latest/scale-to-width-down/500?cb=20110609140224
The Dragon's Secret;Crystal Cove, California, USA;2011-05-31;Scooby-Doo! Mystery Incorporated;;5;White Wizard;Ghost;Flight, electricity generation;Mr. Wang, Mai Le;https://static.wikia.nocookie.net/scoobydoo/images/e/e6/White_Wizard.png/revision/latest/scale-to-width-down/700?cb=20151212133745
Nightfright;Crystal Cove, California, USA;2011-06-07;Scooby-Doo! Mystery Incorporated;;5;Nightfright;Demon;Flight;Argus Fentonpoof;https://static.wikia.nocookie.net/scoobydoo/images/1/1d/Nightfright.png/revision/latest/scale-to-width-down/700?cb=20151215153249
The Siren's Song;Crystal Cove, California, USA;2011-06-14;Scooby-Doo! Mystery Incorporated;;5;Fish Freaks;Fish Creature;Fast swimmers;Ernesto;https://static.wikia.nocookie.net/scoobydoo/images/1/13/Fish_Freaks.png/revision/latest/scale-to-width-down/700?cb=20170118020724
Menace of the Manticore;Crystal Cove, California, USA;2011-06-21;Scooby-Doo! Mystery Incorporated;;4;Manticore;Manticore;Flight, super strength;Hot Dog Water;https://static.wikia.nocookie.net/scoobydoo/images/0/03/Manticore.png/revision/latest/scale-to-width-down/700?cb=20151212161423
Attack of the Headless Horror;Crystal Cove, California, USA;2011-06-28;Scooby-Doo! Mystery Incorporated;;1;Headless Horror;Ghost;Super strength;Marion Spartan;https://static.wikia.nocookie.net/scoobydoo/images/c/c2/Headless_Horror.png/revision/latest/scale-to-width-down/700?cb=20171202122842
A Haunting in Crystal Cove;Crystal Cove, California, USA;2011-07-05;Scooby-Doo! Mystery Incorporated;;1;Shadowy Figure;Ghost;Flight, telekinesis;Professor Pericles;https://static.wikia.nocookie.net/scoobydoo/images/e/e3/Shadowy_Figure.png/revision/latest/scale-to-width-down/700?cb=20151214183041
Dead Justice;Crystal Cove, California, USA;2011-07-12;Scooby-Doo! Mystery Incorporated;;4;Dead Justice;Ghost;Fire CGI demon bullets;Deputy Bucky;https://static.wikia.nocookie.net/scoobydoo/images/4/49/Ghost_of_Dead_Justice.png/revision/latest/scale-to-width-down/700?cb=20170124220529
Pawn of Shadows;Crystal Cove, California, USA;2011-07-19;Scooby-Doo! Mystery Incorporated;;5;Obliteratrix;Human;Advanced weaponry;Alice May;https://static.wikia.nocookie.net/scoobydoo/images/4/47/Obliteratrix.png/revision/latest/scale-to-width-down/700?cb=20170118011407
All Fear the Freak;Crystal Cove, California, USA;2011-07-26;Scooby-Doo! Mystery Incorporated;;2;Freak;Ghoul;Agile;Fred Jones, Sr.;https://static.wikia.nocookie.net/scoobydoo/images/b/ba/Freak_of_cc.png/revision/latest/scale-to-width-down/500?cb=20110605133704
The Night the Clown Cried;Crystal Cove, California, USA;2012-07-30;Scooby-Doo! Mystery Incorporated;;3;Crybaby Clown;Clown;Foam bomb to capture people, flower that sprays sleeping gas;Baylor Hotner;https://static.wikia.nocookie.net/scoobydoo/images/c/cb/Crybaby_Clown.png/revision/latest/scale-to-width-down/700?cb=20170128102029
The House of the Nightmare Witch;Crystal Cove, California, USA;2012-07-31;Scooby-Doo! Mystery Incorporated;;3;Baba Yaga;Witch;Flight, hover;Irina Molotova;https://static.wikia.nocookie.net/scoobydoo/images/c/cb/Baba_Yaga_chases_Velma_and_HDW.png/revision/latest/scale-to-width-down/700?cb=20180208230702
The Night the Clown Cried II - Tears of Doom!;Crystal Cove, California, USA;2012-08-01;Scooby-Doo! Mystery Incorporated;;4;Crybaby Clown;Clown;Foam bomb to capture people, flower that sprays sleeping gas;Baylor Hotner;https://static.wikia.nocookie.net/scoobydoo/images/c/cb/Crybaby_Clown.png/revision/latest/scale-to-width-down/700?cb=20170128102029
Web of the Dreamweaver!;Crystal Cove, California, USA;2012-08-02;Scooby-Doo! Mystery Incorporated;;5;Dreamweaver;Mage;Control people into destroying their possessions with his crystal ball, goes inside people's dreams;Horbert Feist;https://static.wikia.nocookie.net/scoobydoo/images/7/72/Dreamweaver.png/revision/latest/scale-to-width-down/700?cb=20151229131624
The Hodag of Horror;Crystal Cove, California, USA;2012-08-03;Scooby-Doo! Mystery Incorporated;;3;Hodag of Horror;Demon;Speed;Ned Fussbuster, Roberto;https://static.wikia.nocookie.net/scoobydoo/images/8/89/Hodag_of_Horror.png/revision/latest/scale-to-width-down/700?cb=20151213170508
Art of Darkness!;Crystal Cove, California, USA;2012-08-06;Scooby-Doo! Mystery Incorporated;;1;Junk;Robot;Can turn people into gold statues;Butch Firbanks;https://static.wikia.nocookie.net/scoobydoo/images/7/77/Junk2.png/revision/latest/scale-to-width-down/699?cb=20120807111345
The Gathering Gloom;Crystal Cove, California, USA;2012-08-06;Scooby-Doo! Mystery Incorporated;;5;Graveyard Ghoul;Ghoul;Agile;Evallo von Meanskrieg;https://static.wikia.nocookie.net/scoobydoo/images/f/f0/Graveyard_Ghoul.png/revision/latest/scale-to-width-down/700?cb=20160101160411
Night on Haunted Mountain;Crystal Cove, California, USA;2012-08-08;Scooby-Doo! Mystery Incorporated;;1;Dark Lilith;Demon;Flight, super strength;Hot Dog Water;https://static.wikia.nocookie.net/scoobydoo/images/a/a4/Dark_Lilith.png/revision/latest/scale-to-width-down/700?cb=20151228172010
Grim Judgement;Crystal Cove, California, USA;2012-08-09;Scooby-Doo! Mystery Incorporated;;4;Hebediah Grim;Zombie;Large mallet, super strength;Gary, Ethan;https://static.wikia.nocookie.net/scoobydoo/images/1/18/Hebediah_Grim.png/revision/latest/scale-to-width-down/700?cb=20151229173925
Night Terrors;Crystal Cove, California, USA;2012-08-10;Scooby-Doo! Mystery Incorporated;;5;Fiend;Werewolf;Terror wood to make hallucinations;Dan Fluunk;https://static.wikia.nocookie.net/scoobydoo/images/6/60/Fiend_%28Night_Terrors%29.png/revision/latest/scale-to-width-down/700?cb=20151229144847
The Midnight Zone;Crystal Cove, California, USA;2012-08-13;Scooby-Doo! Mystery Incorporated;;3;Kriegstaffebots;Robot;Gatling gun, underwater jet propulsion, durability;Professor Pericles;https://static.wikia.nocookie.net/scoobydoo/images/b/b3/Kriegstaffebots.png/revision/latest/scale-to-width-down/700?cb=20191012142021
Scarebear;Crystal Cove, California, USA;2012-08-14;Scooby-Doo! Mystery Incorporated;;3;Scarebear;Bear;Super strength, razor sharp claws;Benson Fuhrman;https://static.wikia.nocookie.net/scoobydoo/images/6/69/Scarebear.png/revision/latest/scale-to-width-down/700?cb=20180208150305
Wrath of the Krampus;Crystal Cove, California, USA;2012-08-15;Scooby-Doo! Mystery Incorporated;;5;Krampus;Mutant;Super strength;Mystery Inc.;https://static.wikia.nocookie.net/scoobydoo/images/8/8f/Krampus.png/revision/latest/scale-to-width-down/700?cb=20180221155312
Heart of Evil;Crystal Cove, California, USA;2012-08-16;Scooby-Doo! Mystery Incorporated;;1;Dragon;Robot;Super strength, fire breath, launch missiles;Jenny Zin;https://static.wikia.nocookie.net/scoobydoo/images/4/47/Dragon_%28Heart_of_Evil%29.png/revision/latest/scale-to-width-down/700?cb=20180208212148
Theater of Doom;Crystal Cove, California, USA;2012-08-17;Scooby-Doo! Mystery Incorporated;;1;Mummy of Friar Serra;Mummy;Glowing green skin;George Avocados;https://static.wikia.nocookie.net/scoobydoo/images/3/3f/Mummy_of_Friar_Sera_%28fake%29.png/revision/latest/scale-to-width-down/500?cb=20120830043158
Aliens Among Us;Crystal Cove, California, USA;2013-03-25;Scooby-Doo! Mystery Incorporated;;1;Grey Alien, Reptoid, Nordic Alien;Alien;Sly;Traveler O'Flaherty, Connor O'Flaherty, Sheela O'Flaherty;https://static.wikia.nocookie.net/scoobydoo/images/3/36/Reptoid.png/revision/latest/scale-to-width-down/700?cb=20130220202446
The Horrible Herd;Crystal Cove, California, USA;2013-03-25;Scooby-Doo! Mystery Incorporated;;4;Skull Cattle;Mutant;Produce a substance that tastes like cheese mixed with honey, can eat anything;Professor Pericles;https://static.wikia.nocookie.net/scoobydoo/images/9/9e/Horrible_Herd.png/revision/latest/scale-to-width-down/700?cb=20130314072719
Dance of the Undead;Crystal Cove, California, USA;2013-03-26;Scooby-Doo! Mystery Incorporated;;3;Rude Boy and the Ska-Tastics;Zombie;Hypnotize people to dance;Rude Boy and the Ska-Tastics;https://static.wikia.nocookie.net/scoobydoo/images/a/a7/Scooby_doo_ska_tastics.png/revision/latest/scale-to-width-down/699?cb=20130404220523
The Devouring;Crystal Cove, California, USA;2013-03-27;Scooby-Doo! Mystery Incorporated;;1;Gluten Demon;Demon;Eat large amounts of gluten;Francilee Jackson;https://static.wikia.nocookie.net/scoobydoo/images/e/ee/Gluten_Demon.png/revision/latest/scale-to-width-down/700?cb=20151227160413
Stand and Deliver;Crystal Cove, California, USA;2013-03-28;Scooby-Doo! Mystery Incorporated;;3;Dandy Highwayman;Human;Thief;Librarian;https://static.wikia.nocookie.net/scoobydoo/images/2/25/Dandy_Highwayman.png/revision/latest/scale-to-width-down/700?cb=20151231120903
The Man in the Mirror;Crystal Cove, California, USA;2013-03-29;Scooby-Doo! Mystery Incorporated;;5;Fake Fred, Old Daphne;Human;;Brad Chiles, Judy Reeves;https://static.wikia.nocookie.net/scoobydoo/images/3/33/Fake_Fred_%28Brad_Chiles%29.png/revision/latest/scale-to-width-down/699?cb=20170121014906
Nightmare in Red;Crystal Cove, California, USA;2013-04-02;Scooby-Doo! Mystery Incorporated;;2;Monstrous Freak;Ghost;Teleportation;El Aguirre;https://static.wikia.nocookie.net/scoobydoo/images/9/95/Monstrous_Freak.png/revision/latest/scale-to-width-down/700?cb=20191125193431
Dark Night of the Hunters;Crystal Cove, California, USA;2013-04-03;Scooby-Doo! Mystery Incorporated;;4;Priestess;Priest;Control vine plants;Enrique Andelusossa;https://static.wikia.nocookie.net/scoobydoo/images/2/20/Priestess.PNG/revision/latest/scale-to-width-down/700?cb=20130404225439
Gates of Gloom;Crystal Cove, California, USA;2013-04-04;Scooby-Doo! Mystery Incorporated;;2;Kriegstaffebot;Robot;Gatling gun, underwater jet propulsion, durability;Professor Pericles, Brad Chiles, Judy Reeves;https://static.wikia.nocookie.net/scoobydoo/images/b/b3/Kriegstaffebots.png/revision/latest/scale-to-width-down/700?cb=20191012142021
Through the Curtain;Crystal Cove, California, USA;2013-04-05;Scooby-Doo! Mystery Incorporated;;2;Evil Entity;Anunnaki;Possess animals, human absorption;Professor Pericles, Brad Chiles, Judy Reeves;https://static.wikia.nocookie.net/scoobydoo/images/9/96/Evil_Entity.png/revision/latest/scale-to-width-down/700?cb=20180221153947
Come Undone;Crystal Cove, California, USA;2013-04-05;Scooby-Doo! Mystery Incorporated;;4;Evil Entity;Anunnaki;Possess animals, human absorption;Evil Entity;https://static.wikia.nocookie.net/scoobydoo/images/9/96/Evil_Entity.png/revision/latest/scale-to-width-down/700?cb=20180221153947